WORK,IS_PASSED,LOC,AVG_METHOD_LENGTH,PERCENTAGE_VOLUME_METHODS_WITH_LENGTH_LESS_THAN_15,PERCENTAGE_VOLUME_METHODS_WITH_LENGTH_MORE_THAN_15,PERCENTAGE_VOLUME_METHODS_WITH_LENGTH_MORE_THAN_30,PERCENTAGE_VOLUME_METHODS_WITH_LENGTH_MORE_THAN_60,COUNT_METHODS_WITH_CYCL_COMPL_IN_RANGE_0_10,COUNT_METHODS_WITH_CYCL_COMPL_IN_RANGE_11_999,COUNT_METHODS_WITH_CYCL_COMPL_IN_RANGE_21_999,COUNT_METHODS_WITH_CYCL_COMPL_IN_RANGE_41_999,PERCENTAGE_METHODS_WITH_CYCL_COMPL_IN_RANGE_0_999,PERCENTAGE_METHODS_WITH_CYCL_COMPL_IN_RANGE_11_999,PERCENTAGE_METHODS_WITH_CYCL_COMPL_IN_RANGE_21_999,PERCENTAGE_METHODS_WITH_CYCL_COMPL_IN_RANGE_41_999,COUNT_METHODS_WITH_ABC_IN_RANGE_0_10,COUNT_METHODS_WITH_ABC_IN_RANGE_11_999,COUNT_METHODS_WITH_ABC_IN_RANGE_21_999,COUNT_METHODS_WITH_ABC_IN_RANGE_41_999,COUNT_METHODS_WITH_ABC_IN_RANGE_61_999,COUNT_METHODS_WITH_ABC_IN_RANGE_101_999,PERCENTAGE_METHODS_WITH_ABC_IN_RANGE_0_10,PERCENTAGE_METHODS_WITH_ABC_IN_RANGE_11_999,PERCENTAGE_METHODS_WITH_ABC_IN_RANGE_21_999,PERCENTAGE_METHODS_WITH_ABC_IN_RANGE_41_999,PERCENTAGE_METHODS_WITH_ABC_IN_RANGE_61_999,PERCENTAGE_METHODS_WITH_ABC_IN_RANGE_101_999
java6,1,2167227,10.928205980916324,0.14755768546626635,0.2429053347895721,0.1754126355937795,0.11026440700489612,76623,1206,353,91,1.0,0.14560599937132337,0.0722907227654209,0.028745411960454822,71791,6038,2140,605,236,71,0.597636317656596,0.40236368234340397,0.23745778294584635,0.1188565175568586,0.06861674596027993,0.03366965169896315
java7,1,2253578,10.660401702085426,0.14641206117560607,0.23111425475399563,0.1638971448958057,0.1002787567148774,78913,1296,374,89,1.0,0.1529787196530263,0.0769313046186757,0.02784369729132507,73962,6247,2241,638,249,74,0.5884788753915502,0.41152112460844986,0.24603983380054892,0.12395258496564937,0.07232849662370634,0.034449361472052284
java8,1,4772424,12.395006105520233,0.14187234830769438,0.28464528717481935,0.21762840015891297,0.15068527021069378,162223,2940,858,213,1.0,0.14009028637848847,0.06636721864601874,0.025096252904044807,151252,13911,5110,1469,608,187,0.6251950972796672,0.3748049027203328,0.22563242960163063,0.11260742325191118,0.06644729634595138,0.030944381370291565
java11,1,5353364,13.731379112147954,0.13703047280177474,0.3134955889418317,0.2496704875663228,0.18923895330113924,173061,3096,881,221,1.0,0.1212987648383178,0.056914459145130464,0.02218066779167686,160645,15512,5806,1656,685,221,0.6655124946617299,0.3344875053382701,0.20497381656252722,0.10269173200432867,0.06109302894482613,0.02940630143915616
java13,1,5395006,13.700006111212964,0.13853348819259886,0.31358389592152447,0.24990259510369406,0.1893871851115643,175586,3115,896,226,1.0,0.12035293886132038,0.057076242140788526,0.022454304240448412,163088,15611,5824,1659,689,222,0.6672716523940871,0.33169726169821284,0.2028701495915014,0.10122024814937504,0.060285932626427945,0.02881669875400545
java15,1,5238644,14.028896590483328,0.13484825462467004,0.3177054978349359,0.25515457816946524,0.19639891544453106,166738,2852,783,186,1.0,0.11318821580179925,0.051854082727622444,0.0199277196250329,154878,14711,5485,1555,649,207,0.6792398075222882,0.320183164274193,0.1952768048159921,0.09701286671660829,0.05791583149426684,0.028065588872466643
java16,1,5309585,13.924258365545162,0.13744030842335136,0.316324533838332,0.25406109893711093,0.19564466902780536,170754,2863,791,187,1.0,0.11126039356610605,0.0511297250698646,0.019586162471054908,158645,14971,5483,1559,647,202,0.6818523863540618,0.31757981457707896,0.19201694431958122,0.09560856397057572,0.05676205940058183,0.02704807157920776
java17,1,4464282,15.184779716144293,0.12360845484223443,0.3315791878738843,0.27432989224247034,0.2183627736778277,132015,2245,643,157,1.0,0.1089328896513238,0.05098406268238647,0.020170406173754457,123184,11076,4157,1217,510,162,0.6989679570648093,0.30103204293519076,0.18422399445692753,0.09325146671942033,0.05585836426214245,0.026933407345948943
java19,1,4288874,16.068985502706006,0.12051111783652306,0.3529975466754211,0.298349170434944,0.24470455415570613,124636,2085,602,149,1.0,0.10221491920254833,0.04854839352990099,0.01939316108427191,116488,10233,3890,1154,489,157,0.719699293733218,0.280300706266782,0.17313556747302444,0.08862877489328197,0.053672927030917084,0.026129852044913898
