WORK,IS_PASSED,LOC,AVG_METHOD_LENGTH,PERCENTAGE_VOLUME_METHODS_WITH_LENGTH_LESS_THAN_15,PERCENTAGE_VOLUME_METHODS_WITH_LENGTH_MORE_THAN_15,PERCENTAGE_VOLUME_METHODS_WITH_LENGTH_MORE_THAN_30,PERCENTAGE_VOLUME_METHODS_WITH_LENGTH_MORE_THAN_60,COUNT_METHODS_WITH_CYCL_COMPL_IN_RANGE_0_10,COUNT_METHODS_WITH_CYCL_COMPL_IN_RANGE_11_999,COUNT_METHODS_WITH_CYCL_COMPL_IN_RANGE_21_999,COUNT_METHODS_WITH_CYCL_COMPL_IN_RANGE_41_999,PERCENTAGE_METHODS_WITH_CYCL_COMPL_IN_RANGE_0_999,PERCENTAGE_METHODS_WITH_CYCL_COMPL_IN_RANGE_11_999,PERCENTAGE_METHODS_WITH_CYCL_COMPL_IN_RANGE_21_999,PERCENTAGE_METHODS_WITH_CYCL_COMPL_IN_RANGE_41_999,COUNT_METHODS_WITH_ABC_IN_RANGE_0_10,COUNT_METHODS_WITH_ABC_IN_RANGE_11_999,COUNT_METHODS_WITH_ABC_IN_RANGE_21_999,COUNT_METHODS_WITH_ABC_IN_RANGE_41_999,COUNT_METHODS_WITH_ABC_IN_RANGE_61_999,COUNT_METHODS_WITH_ABC_IN_RANGE_101_999,PERCENTAGE_METHODS_WITH_ABC_IN_RANGE_0_10,PERCENTAGE_METHODS_WITH_ABC_IN_RANGE_11_999,PERCENTAGE_METHODS_WITH_ABC_IN_RANGE_21_999,PERCENTAGE_METHODS_WITH_ABC_IN_RANGE_41_999,PERCENTAGE_METHODS_WITH_ABC_IN_RANGE_61_999,PERCENTAGE_METHODS_WITH_ABC_IN_RANGE_101_999
java6,1,2167227,10.928205980916324,0.14755768546626635,0.2429053347895721,0.1754126355937795,0.11026440700489612,76623,1206,353,91,1.0,0.14560599937132337,0.0722907227654209,0.028745411960454822,71791,6038,2140,605,236,71,0.597636317656596,0.40236368234340397,0.23745778294584635,0.1188565175568586,0.06861674596027993,0.03366965169896315
java7,1,2253578,10.660401702085426,0.14641206117560607,0.23111425475399563,0.1638971448958057,0.1002787567148774,78913,1296,374,89,1.0,0.1529787196530263,0.0769313046186757,0.02784369729132507,73962,6247,2241,638,249,74,0.5884788753915502,0.41152112460844986,0.24603983380054892,0.12395258496564937,0.07232849662370634,0.034449361472052284
java8,1,4772424,12.395006105520233,0.14187234830769438,0.28464528717481935,0.21762840015891297,0.15068527021069378,162223,2940,858,213,1.0,0.14009028637848847,0.06636721864601874,0.025096252904044807,151252,13911,5110,1469,608,187,0.6251950972796672,0.3748049027203328,0.22563242960163063,0.11260742325191118,0.06644729634595138,0.030944381370291565
java11,1,5353364,13.731379112147954,0.13703047280177474,0.3134955889418317,0.2496704875663228,0.18923895330113924,173061,3096,881,221,1.0,0.1212987648383178,0.056914459145130464,0.02218066779167686,160645,15512,5806,1656,685,221,0.6655124946617299,0.3344875053382701,0.20497381656252722,0.10269173200432867,0.06109302894482613,0.02940630143915616
